code,first_name,second_name,web_name,fbref
50093,David,Button,Button,e608ed4c
50175,Danny,Welbeck,Welbeck,ce5143da
50229,Matt,Phillips,Phillips,7bb5f40e
50232,Jonjo,Shelvey,Shelvey,3727dd3c
50471,James,McArthur,McArthur,cee31595
50472,James,McCarthy,McCarthy,64b08de7
51090,Thiago,Emiliano da Silva,Thiago Silva,86e7deaf
51344,Rajiv,van La Parra,van La Parra,1931bde9
51507,Laurent,Koscielny,Koscielny,f5efb153
51917,Diego,Cavalieri,Cavalieri,84e6ea11
51927,Ben,Mee,Mee,8df7a2fb
51934,Ron-Robert,Zieler,Zieler,a0606ae8
51938,Marc,Albrighton,Albrighton,b827d5b3
51940,David,De Gea Quintana,De Gea,7ba6d84e
52153,Miguel,Britos,Britos,356a9a62
52287,Evandro,Goebel,Evandro,67dbadfc
52484,Leon,Balogun,Balogun,78e68b4d
52538,Fernando Francisco,Reges,Fernando,41f32541
52775,Nicolas,Nkoulou,Nkoulou,93cf32a8
52940,Daryl,Janmaat,Janmaat,45da6694
53371,David,Meyler,Meyler,8ea6417a
54102,Jack,Wilshere,Wilshere,9c318325
54284,Chris,Löwe,Löwe,c6896eab
54316,Leonardo,Ulloa,Ulloa,eed56f6c
54421,Floyd,Ayité,Ayité,fd5888a0
54469,Adam,Smith,Smith,20b104bc
54484,Francisco,Femenía Far,Femenía,e5d01ecf
54513,Vicente,Iborra,Iborra,ad1ffcfd
54527,Loïc,Damour,Damour,074d8166
54694,Pierre-Emerick,Aubameyang,Aubameyang,d5dd5f1f
54756,Victor,Wanyama,Wanyama,e0900238
54764,Jonathan,Kodjia,Kodjia,ecf44e09
54771,Fabio Pereira,da Silva,Fabio,bc7b4580
54861,Christian,Benteke,Benteke,ab070c55
54908,Nacer,Chadli,Chadli,5b54bf3b
55037,Cheikhou,Kouyaté,Kouyaté,8d3c902d
55038,Kevin,McDonald,McDonald,71a08f97
55313,Franck,Tabanou,Tabanou,15e1afd5
55317,Bernardo,Espinosa Zúñiga,Bernardo,4242011c
55422,Gylfi,Sigurdsson,Sigurdsson,76dd1480
55452,Yannick,Bolasie,Bolasie,715fc0fe
55459,Aaron,Cresswell,Cresswell,4f974391
55494,Joel,Ward,Ward,8a7ff278
55605,Toby,Alderweireld,Alderweireld,f7d50789
55829,Claudio,Yacob,Yacob,bda6ffd4
55909,Chris,Smalling,Smalling,b6964eb6
55914,Liam,Cooper,Cooper,dc64b8b3
56192,Rhu-endly,Martina,Cuco Martina,22551915
56377,Andriy,Yarmolenko,Yarmolenko,849c826a
56827,Costel,Pantilimon,Pantilimon,d24e154c
56864,Francis,Coquelin,Coquelin,a6951bf8
56872,Junior,Stanislas,Stanislas,6992791d
56917,Steve,Cook,Cook,3e5e4e63
56979,Jordan,Henderson,Henderson,935e6b8f
56981,Joe,Bennett,Bennett,dc936144
56983,Matt,Ritchie,Ritchie,71ef519e
57001,Wilfried,Bony,Bony,61abe9b6
57112,Eliaquim,Mangala,Mangala,f520049f
57127,Teemu,Pukki,Pukki,0745b37d
57134,Salomón,Rondón,Rondón,b318a643
57145,Federico,Fernández,Fernández,f25b010f
57187,Giedrius,Arlauskis,Arlauskis,1858bbf7
57249,Henrikh,Mkhitaryan,Mkhitaryan,dd0daf32
57328,Nathaniel,Clyne,Clyne,0442183b
57410,Nicolás,Otamendi,Otamendi,0d267745
57513,Jonas,Lössl,Lössl,939bc634
57531,Michail,Antonio,Antonio,ac05f970
57586,Luciano,Narsingh,Narsingh,977ffc24
57647,Lyle,Taylor,Taylor,3e80e04e
57736,Jan,Kirchhoff,Kirchhoff,a14d04e3
57913,Barry,Douglas,Douglas,c859705e
58376,Alex,McCarthy,McCarthy,36c2ca73
58476,Rui Pedro,da Rocha Fonte,Fonte,6ff8ef56
58498,Odion,Ighalo,Ighalo,03622183
58621,Kyle,Walker,Walker,86dd77d1
58771,Jack,Colback,Colback,963a9201
58786,Martin,Kelly,Kelly,d7492450
58791,Ryan,Mason,Mason,c8fac933
58822,Cédric,Alves Soares,Cédric,839c14e1
58845,Ciaran,Clark,Clark,2b91cf8e
58877,Daley,Blind,Blind,691bef82
58893,Marcos,Rojo,Rojo,e0991c04
59044,Adam,Clayton,Clayton,45b59689
59115,Mile,Jedinak,Jedinak,22fd2214
59125,Connor,Wickham,Wickham,41cc19c2
59614,Mark,Duffy,Duffy,d86ccbc9
59735,Karl,Darlow,Darlow,cde3309f
59741,Max,Gradel,Gradel,c5a500ca
59779,Pedro,Obiang,Obiang,ba1e04b3
59796,Gökhan,Töre,Töre,51960957
59846,Ander,Herrera,Herrera,436a9dd0
59856,Abel,Hernández,Hernández,a36da810
59859,Ilkay,Gündogan,Gündogan,819b3158
59940,Kyle,Bartley,Bartley,18e96f64
59949,Seamus,Coleman,Coleman,0420d84f
59966,Alexandre,Lacazette,Lacazette,9dbb75ca
60025,James,Rodríguez,James,715bf047
60165,Wahbi,Khazri,Khazri,2677a1de
60232,Craig,Dawson,Dawson,3e9e06cb
60252,Andros,Townsend,Townsend,b28bbd58
60270,Simone,Zaza,Zaza,9592289a
60307,Pascal,Groß,Gross,8aec0537
