code,first_name,second_name,web_name,understat
37265,Alexis,Sánchez,Sánchez,498.0
37339,Ahmed,El Mohamady,El Mohamady,1685.0
37388,Marcin,Wasilewski,Wasilewski,760.0
37402,Christian,Fuchs,Fuchs,749.0
37572,Sergio,Agüero,Agüero,619.0
37605,Mesut,Özil,Özil,499.0
37614,Mario,Vrancic,Vrancic,12.0
37642,Jonny,Evans,Evans,807.0
37742,Younes,Kaboul,Kaboul,736.0
37748,Bacary,Sagna,Sagna,625.0
37869,Ryan,Shawcross,Shawcross,886.0
37901,Dimitri,Payet,Payet,536.0
37915,Hugo,Lloris,Lloris,637.0
37998,Bafétimbi,Gomis,Gomis,717.0
38038,Ben,Hamer,Hamer,1759.0
38290,Danny,Rose,Rose,641.0
38411,Nacho,Monreal,Monreal,495.0
38419,Loïc,Remy,Remy,690.0
38439,Etienne,Capoue,Capoue,572.0
38454,Dejan,Lovren,Lovren,602.0
38490,Beram,Kayal,Kayal,6409.0
38499,Tomer,Hemed,Hemed,4046.0
38533,Rui Pedro,dos Santos Patrício,Patrício,6849.0
38580,Jose,Fonte,Fonte,834.0
38588,Gaetano,Berardi,Berardi,9423.0
38716,Lee,Peltier,Peltier,6822.0
39104,Mousa,Dembélé,Dembélé,642.0
39155,Adam,Lallana,Lallana,486.0
39158,Scott,Arfield,Arfield,1659.0
39167,Andrea,Ranocchia,Ranocchia,1522.0
39187,Jeremain,Lens,Lens,781.0
39194,Jan,Vertonghen,Vertonghen,640.0
39215,Michel,Vorm,Vorm,651.0
39253,Jonas,Olsson,Olsson,805.0
39270,Marvin,Emnes,Emnes,829.0
39472,Dieumerci,Mbokani,Mbokani,795.0
39476,Sokratis,Papastathopoulos,Sokratis,371.0
39487,Erik,Pieters,Pieters,887.0
39725,Anders,Lindegaard,Lindegaard,950.0
39790,Francisco,Casilla Cortés,Casilla,2259.0
39847,Steven,Defour,Defour,1657.0
40002,Matteo,Darmian,Darmian,557.0
40142,Andy,Carroll,Carroll,537.0
40145,Jack,Cork,Cork,712.0
40146,Ryan,Bertrand,Bertrand,835.0
40202,George,Friend,Friend,1708.0
40232,Gonzalo,Higuaín,Higuaín,1293.0
40276,Bojan,Krkic Perez,Bojan,871.0
40346,Erwin,Mulder,Mulder,6431.0
40349,Asmir,Begovic,Begovic,694.0
40383,Fraser,Forster,Forster,831.0
40386,Chris,Basham,Basham,7704.0
40387,Dan,Gosling,Gosling,462.0
40399,Sam,Vokes,Vokes,1661.0
40451,Anthony,Pilkington,Pilkington,
40555,Joe,Allen,Allen,480.0
40559,Fabricio,Agosto Ramírez,Fabri,2587.0
40564,Henri,Lansbury,Lansbury,7727.0
40616,Stephen,Ward,Ward,1655.0
40669,Angelo,Ogbonna,Ogbonna,528.0
40694,Roberto,Jimenez Gago,Roberto,5087.0
40720,Edinson,Cavani,Cavani,3294.0
40725,Danny,Simpson,Simpson,746.0
40755,Daniel,Sturridge,Sturridge,483.0
40772,Gökhan,Inler,Inler,761.0
40784,Mamadou,Sakho,Sakho,485.0
40833,Jérémy,Pied,Pied,1784.0
40836,Vicente,Guaita,Guaita,2190.0
40845,Dale,Stephens,Stephens,6051.0
40868,José,Holebas,Holebas,568.0
41135,Branislav,Ivanovic,Ivanovic,682.0
41184,Marouane,Fellaini,Fellaini,630.0
41251,Eduardo,dos Reis Carvalho,Eduardo,5561.0
41270,David,Luiz Moreira Marinho,David Luiz,1676.0
41320,Charlie,Daniels,Daniels,459.0
41321,Yohan,Benalouane,Benalouane,974.0
41328,César,Azpilicueta,Azpilicueta,681.0
41338,Craig,Cathcart,Cathcart,581.0
41464,Marko,Arnautovic,Arnautovic,865.0
41674,Kevin,Long,Long,1747.0
41705,Bradley,Guzan,Guzan,662.0
41725,Troy,Deeney,Deeney,574.0
41727,Ryan,Bennett,Bennett,787.0
41733,Georginio,Wijnaldum,Wijnaldum,771.0
41792,Aaron,Ramsey,Ramsey,504.0
41823,Fabian,Delph,Delph,876.0
41926,Almen,Abdi,Abdi,569.0
41945,Sebastian,Prödl,Prödl,566.0
42427,Kieran,Gibbs,Gibbs,545.0
42493,Mario,Balotelli,Balotelli,1817.0
42525,Stephen,Henderson,Henderson,8095.0
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,339.0
42583,Sébastien,Pocognoli,Pocognoli,893.0
42593,Aleksandar,Kolarov,Kolarov,621.0
42727,Yoan,Gouffran,Gouffran,916.0
42738,Juan,Zuñiga,Zuñiga,1722.0
42748,Gaëtan,Bong,Bong,6105.0
42774,Morgan,Schneiderlin,Schneiderlin,551.0
42786,Eden,Hazard,Hazard,701.0
42824,Carlos,Sánchez,Carlos Sánchez,667.0
42892,Álvaro,Negredo,Negredo,1715.0
42899,Sergio,Romero,Romero,560.0
42996,Angel,Rangel,Rangel,707.0
43020,Javier,Hernández Balcázar,Chicharito,191.0
43191,Leiva,Lucas,Lucas,475.0
43250,Tom,Cleverley,Cleverley,596.0
43252,James,Chester,Chester,819.0
43521,Henri,Saivet,Saivet,778.0
43626,Håvard,Nordtveit,Nordtveit,202.0
43670,Juan,Mata,Mata,554.0
43693,Martín,Cáceres,Cáceres,1942.0
43808,Markus,Suttner,Suttner,379.0
44302,Adlène,Guédioura,Guédioura,583.0
44336,Sofiane,Feghouli,Feghouli,1674.0
44343,Bakary,Sako,Sako,520.0
44346,Olivier,Giroud,Giroud,502.0
44413,Steve,Mandanda,Mandanda,1670.0
44604,Nordin,Amrabat,Amrabat,575.0
44683,Jay,Rodriguez,Rodriguez,844.0
44699,Ashley,Barnes,Barnes,4422.0
45034,Ivan,Perišić,Perišić,448.0
45076,Lamine,Koné,Koné,728.0
45124,André,Ayew,A.Ayew,713.0
45196,Gary,Madine,Madine,6829.0
45220,Alex,Smithies,Smithies,6832.0
45268,Moussa,Sissoko,Sissoko,772.0
46483,Adrien,Silva,Silva,6464.0
46695,Ritchie,de Laet,de Laet,955.0
47247,John,Fleck,Fleck,7709.0
47390,Neil,Taylor,Taylor,710.0
47431,Willian,Borges da Silva,Willian,700.0
48332,Orestis,Karnezis,Karnezis,1138.0
48615,Harry,Arter,Arter,881.0
48717,Winston,Reid,Reid,529.0
48760,Mathias,Jorgensen,Zanka,6030.0
48771,Emilio,Nsue Lopez,Nsue,1757.0
48773,Siem,de Jong,de Jong,774.0
48844,David,Ospina,Ospina,505.0
48860,Niki,Mäenpää,Mäenpää,6053.0
49013,Victor,Moses,Moses,541.0
49083,Luke,Freeman,Freeman,7713.0
49195,Jefferson,Montero,Montero,715.0
49202,Sean,Scannell,Scannell,
49207,Rudy,Gestede,Gestede,671.0
49262,Jason,Steele,Steele,7235.0
49277,Leroy,Fer,Fer,711.0
49382,Bruno,Ecuele Manga,Ecuele Manga,4883.0
49384,Jack,Rodwell,Rodwell,733.0
49413,James,Tomkins,Tomkins,530.0
49438,Jordon,Mutch,Mutch,632.0
49440,Hal,Robson-Kanu,Robson-Kanu,1738.0
49464,Cristhian,Stuani,Stuani,1709.0
49539,Kyle,Naughton,Naughton,718.0
49579,Pedro,Rodríguez Ledesma,Pedro,687.0
49688,Alfred,N'Diaye,N'Diaye,2144.0
49696,Mauro,Zárate,Zárate,939.0
49773,Albert,Adomah,Adomah,1782.0
49806,David Junior,Hoilett,Hoilett,4395.0
49845,Aron,Gunnarsson,Gunnarsson,7199.0
49944,Jake,Livermore,Livermore,1689.0
