code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
38038,Ben,Hamer,Hamer,583,190,190,,,,,1759,d822a850
38290,Danny,Rose,Rose,383,378,354,332,384,377,,641,89d10e53
38411,Nacho,Monreal,Monreal,10,10,5,6,,,,495,d4cb83cc
38419,Loïc,Remy,Remy,98,,,,,,,690,5c2da10f
38439,Etienne,Capoue,Capoue,416,409,389,373,,,,572,5acc4a10
38454,Dejan,Lovren,Lovren,191,215,239,186,,,,602,1a2935f6
38490,Beram,Kayal,Kayal,,64,57,56,,,,6409,26679cdf
38499,Tomer,Hemed,Hemed,,72,63,,,,,4046,27d7453c
38533,Rui Pedro,dos Santos Patrício,Patrício,,,454,411,455,427,,6849,79b0d6a0
38580,Jose,Fonte,Fonte,297,440,,,,,,834,90f87966
38588,Gaetano,Berardi,Berardi,,,,,685,,,9423,5348aada
38716,Lee,Peltier,Peltier,,,95,,600,,,6822,af341b88
39104,Mousa,Dembélé,Dembélé,391,385,362,,,,,642,f7ee69fb
39155,Adam,Lallana,Lallana,205,228,250,195,54,53,101,486,99813635
39158,Scott,Arfield,Arfield,63,82,,,,,,1659,b1313ec4
39167,Andrea,Ranocchia,Ranocchia,638,,,,,,,1522,539230cf
39187,Jeremain,Lens,Lens,351,,,,,,,781,6f1721f0
39194,Jan,Vertonghen,Vertonghen,385,380,355,330,,,,640,ba23a904
39215,Michel,Vorm,Vorm,381,376,352,555,,,,651,1bebde9d
39253,Jonas,Olsson,Olsson,432,,,,,,,805,48844a9b
39270,Marvin,Emnes,Emnes,378,,,,,,,829,a5900d91
39472,Dieumerci,Mbokani,Mbokani,569,,,,,,,795,d9847696
39476,Sokratis,Papastathopoulos,Sokratis,,,12,5,2,,,371,b682dcf6
39487,Erik,Pieters,Pieters,321,332,,447,83,100,,887,1ef37668
39725,Anders,Lindegaard,Lindegaard,,554,485,,,,,,636f1a28
39790,Francisco,Casilla Cortés,Casilla,,,,,194,183,,2259,58bc7d18
39847,Steven,Defour,Defour,525,85,77,99,,,,1657,73489527
40002,Matteo,Darmian,Darmian,251,268,289,230,,,,557,96e0490d
40142,Andy,Carroll,Carroll,468,457,418,520,320,,,537,b581987a
40145,Jack,Cork,Cork,367,90,82,102,84,101,,712,74e12f1e
40146,Ryan,Bertrand,Bertrand,296,307,330,305,362,473,250,835,01226327
40202,George,Friend,Friend,276,,,,,,,1708,4f97147d
40232,Gonzalo,Higuaín,Higuaín,,,579,,,,,1293,8a08491a
40276,Bojan,Krkic Perez,Bojan,335,344,,,,,,871,9fa0a0b8
40346,Erwin,Mulder,Mulder,,576,,,,,,,b3576b7c
40349,Asmir,Begović,Begović,74,29,24,72,,481,176,694,7b4de647
40383,Fraser,Forster,Forster,294,306,329,317,523,333,426,831,c3e39f12
40386,Chris,Basham,Basham,,,,423,345,,,7704,1aa84968
40387,Dan,Gosling,Gosling,43,43,37,81,,378,,462,7fec31a0
40399,Sam,Vokes,Vokes,67,91,84,,,,,1661,1d6ac165
40451,Anthony,Pilkington,Pilkington,,,103,,,,,,b31af577
